time,joint_root_pos.x,joint_root_pos.y,joint_root_pos.z,Hips_pos.x,Hips_pos.y,Hips_pos.z,Spine_pos.x,Spine_pos.y,Spine_pos.z,Chest_pos.x,Chest_pos.y,Chest_pos.z,Neck_pos.x,Neck_pos.y,Neck_pos.z,Head_pos.x,Head_pos.y,Head_pos.z,Shoulder_L_pos.x,Shoulder_L_pos.y,Shoulder_L_pos.z,UpperArm_L_pos.x,UpperArm_L_pos.y,UpperArm_L_pos.z,LowerArm_L_pos.x,LowerArm_L_pos.y,LowerArm_L_pos.z,Hand_L_pos.x,Hand_L_pos.y,Hand_L_pos.z,Shoulder_R_pos.x,Shoulder_R_pos.y,Shoulder_R_pos.z,UpperArm_R_pos.x,UpperArm_R_pos.y,UpperArm_R_pos.z,LowerArm_R_pos.x,LowerArm_R_pos.y,LowerArm_R_pos.z,Hand_R_pos.x,Hand_R_pos.y,Hand_R_pos.z,UpperLeg_L_pos.x,UpperLeg_L_pos.y,UpperLeg_L_pos.z,LowerLeg_L_pos.x,LowerLeg_L_pos.y,LowerLeg_L_pos.z,Foot_L_pos.x,Foot_L_pos.y,Foot_L_pos.z,Toes_L_pos.x,Toes_L_pos.y,Toes_L_pos.z,UpperLeg_R_pos.x,UpperLeg_R_pos.y,UpperLeg_R_pos.z,LowerLeg_R_pos.x,LowerLeg_R_pos.y,LowerLeg_R_pos.z,Foot_R_pos.x,Foot_R_pos.y,Foot_R_pos.z,Toes_R_pos.x,Toes_R_pos.y,Toes_R_pos.z
0.0,0.0,0.0,0.0,0.84703,93.984,-452.225,0.64109,109.64094,-453.78389,0.69162,118.61083,-454.43623,1.38253,134.97069,-454.74263,1.76,141.41472,-454.88803,6.21926,131.38388,-454.52018,11.45251,130.41781,-453.98928,15.69548,106.51479,-452.40073,17.19259,85.06026,-446.5375,-3.70095,131.78811,-455.32226,-8.97015,130.90181,-455.09326,-15.99105,107.61031,-454.76397,-20.44813,87.50673,-446.2263,7.33695,91.91781,-451.70312,10.6379,53.262,-446.99521,12.96574,13.64676,-457.24297,14.00125,6.15589,-448.24419,-5.58551,91.68714,-452.31247,-10.34555,53.20649,-447.42218,-11.94109,13.64679,-458.01878,-13.68092,6.15593,-449.12927
0.03333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.64684,109.64066,-453.78741,0.714,118.6112,-454.42931,1.48348,134.96863,-454.67073,1.87814,141.41159,-454.81846,6.30297,131.35775,-454.46449,11.53097,130.36205,-453.93654,15.51183,106.39111,-452.74178,16.88752,84.7894,-447.41364,-3.61547,131.81287,-455.26105,-8.88825,130.94865,-455.02991,-15.70318,107.59375,-455.00667,-20.00947,87.27875,-446.90312,7.33598,91.91598,-451.69833,10.6135,53.25809,-446.99105,12.91838,13.65902,-457.30627,13.95121,6.16816,-448.30717,-5.58614,91.68906,-452.31628,-10.40446,53.21138,-447.45972,-11.98988,13.65903,-458.0852,-13.72938,6.16813,-449.19565
0.06667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.65588,109.63857,-453.8093,0.74175,118.60912,-454.44883,1.59438,134.9632,-454.63121,2.0018,141.4053,-454.7815,6.39537,131.32717,-454.4355,11.61812,130.30264,-453.91076,15.38004,106.28285,-453.02855,16.65155,84.57447,-448.12496,-3.52021,131.83551,-455.23542,-8.7965,130.99487,-454.99737,-15.38591,107.57721,-455.29416,-19.49704,87.05314,-447.62788,7.33424,91.91406,-451.68461,10.58234,53.25229,-446.98888,12.86315,13.67159,-457.37968,13.89961,6.18074,-448.38098,-5.58692,91.69156,-452.3239,-10.46544,53.21648,-447.50697,-12.03517,13.67152,-458.16223,-13.7743,6.18061,-449.27261
0.1,0.0,0.0,0.0,0.84703,93.984,-452.225,0.67306,109.63652,-453.83141,0.78167,118.60703,-454.46807,1.72258,134.95684,-454.58829,2.14099,141.39822,-454.7392,6.50376,131.29426,-454.40287,11.72063,130.24054,-453.8775,15.33194,106.18967,-453.24914,16.50944,84.41136,-448.64112,-3.40836,131.85907,-455.20788,-8.68804,131.04008,-454.96988,-15.03904,107.56242,-455.56979,-18.9202,86.84707,-448.30882,7.33126,91.90909,-451.66812,10.55541,53.24331,-446.98891,12.81034,13.68403,-457.46658,13.84494,6.19317,-448.46768,-5.58872,91.6971,-452.33423,-10.53145,53.22271,-447.57769,-12.09796,13.68399,-458.25661,-13.83336,6.19312,-449.36623
0.13333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.68765,109.63477,-453.84991,0.81537,118.60536,-454.48177,1.83073,134.95106,-454.53746,2.25734,141.39206,-454.68165,6.59497,131.26608,-454.35989,11.80638,130.18676,-453.83232,15.33282,106.11952,-453.37118,16.42782,84.30468,-448.91819,-3.31339,131.87909,-455.17581,-8.59609,131.07749,-454.94546,-14.71645,107.54707,-455.81479,-18.36963,86.67039,-448.90613,7.32795,91.90627,-451.64081,10.49769,53.23388,-446.97912,12.72621,13.69433,-457.53661,13.7644,6.20346,-448.53813,-5.58949,91.70041,-452.35638,-10.60994,53.23103,-447.64089,-12.17264,13.69443,-458.32821,-13.91189,6.20352,-449.43862
0.16667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.70322,109.63182,-453.87945,0.84854,118.60231,-454.50911,1.92714,134.94404,-454.49095,2.36022,141.38504,-454.61412,6.67655,131.23991,-454.31482,11.88304,130.14081,-453.77953,15.39675,106.07029,-453.39913,16.4381,84.24623,-448.97855,-3.22682,131.89479,-455.15827,-8.51226,131.10747,-454.94192,-14.40694,107.52903,-456.03974,-17.85067,86.52856,-449.40407,7.3244,91.90358,-451.61169,10.44138,53.22704,-446.94884,12.6349,13.71082,-457.60059,13.67348,6.21996,-448.60215,-5.59027,91.70392,-452.37727,-10.70376,53.24334,-447.69007,-12.26633,13.7108,-458.39238,-14.00005,6.21996,-449.50165
0.2,0.0,0.0,0.0,0.84703,93.984,-452.225,0.7205,109.62957,-453.90201,0.88133,118.60013,-454.52672,2.00828,134.93835,-454.43443,2.45377,141.37902,-454.52725,6.74592,131.21936,-454.25427,11.94739,130.1045,-453.70308,15.50192,106.04022,-453.3072,16.52268,84.22982,-448.81501,-3.15186,131.90735,-455.13624,-8.43934,131.12818,-454.94166,-14.1433,107.51289,-456.23711,-17.37769,86.42815,-449.76536,7.32007,91.90073,-451.57666,10.37021,53.21822,-446.91916,12.52522,13.72268,-457.65514,13.55884,6.23182,-448.65612,-5.59076,91.70739,-452.40602,-10.81671,53.25753,-447.75506,-12.38275,13.72263,-458.44816,-14.11906,6.23183,-449.5579
0.23333,0.0,0.0,0.0,0.84703,93.984,-452.225,0.7322,109.62848,-453.91297,0.90425,118.5994,-454.52948,2.06807,134.93452,-454.36974,2.52206,141.37502,-454.42551,6.79604,131.20394,-454.17586,11.99169,130.07572,-453.5976,15.63309,106.02648,-453.09274,16.65457,84.24683,-448.45391,-3.09482,131.91809,-455.11288,-8.38389,131.14235,-454.94992,-13.94409,107.49956,-456.36339,-17.02159,86.36471,-449.97918,7.31538,91.9012,-451.53001,10.27684,53.21049,-446.88333,12.37088,13.72977,-457.68566,13.4058,6.23892,-448.68678,-5.58932,91.70723,-452.44961,-10.9658,53.27518,-447.82309,-12.54488,13.72982,-458.47551,-14.27645,6.23892,-449.58441
0.26667,0.0,0.0,0.0,0.84703,93.984,-452.225,0.7503,109.62527,-453.94358,0.93341,118.59575,-454.56341,2.11924,134.92876,-454.35773,2.57913,141.36901,-454.38892,6.84006,131.19091,-454.1323,12.02885,130.05148,-453.51565,15.79087,106.02531,-452.82904,16.82557,84.2942,-447.97068,-3.04152,131.92147,-455.15099,-8.33267,131.15216,-455.03093,-13.80391,107.49152,-456.49207,-16.75135,86.35026,-450.06786,7.30885,91.90092,-451.47252,10.16352,53.19906,-446.85198,12.19344,13.7412,-457.74968,13.22717,6.25032,-448.7507,-5.58784,91.7084,-452.49857,-11.12933,53.29449,-447.91626,-12.70565,13.74111,-458.53925,-14.44673,6.25028,-449.64994
0.3,0.0,0.0,0.0,0.84703,93.984,-452.225,0.77148,109.62284,-453.96661,0.96539,118.59298,-454.58795,2.16612,134.92437,-454.34279,2.62928,141.36445,-454.34529,6.88063,131.18116,-454.07773,12.06128,130.03306,-453.41077,15.95339,106.03613,-452.47292,17.00587,84.36929,-447.33914,-2.98978,131.92387,-455.19146,-8.28243,131.15853,-455.12366,-13.72764,107.49126,-456.57471,-16.61754,86.38347,-450.01572,7.30014,91.90084,-451.40137,10.01955,53.18819,-446.7896,11.97353,13.75546,-457.79163,13.00747,6.26458,-448.79267,-5.58504,91.70916,-452.5633,-11.31278,53.31944,-448.00745,-12.92641,13.75555,-458.58566,-14.66852,6.26466,-449.69661
